Song_correct;Artist_correct;Song_concat;YT_link
baw sie lalkami;andrzej zaucha;baw sie lalkami andrzej zaucha;https://www.youtube.com/watch?v=D9JGPH-BxgY
badz moim natchnieniem;andrzej zaucha;badz moim natchnieniem andrzej zaucha;https://www.youtube.com/watch?v=RdJwJ238jDM
bezsennosc we dwoje;andrzej zaucha;bezsennosc we dwoje andrzej zaucha;https://www.youtube.com/watch?v=feTuC6eT68A
bylas serca biciem;andrzej zaucha;bylas serca biciem andrzej zaucha;https://www.youtube.com/watch?v=EhFUzyiFvvI
ces't la vie (paryz z pocztowki);andrzej zaucha;ces't la vie (paryz z pocztowki) andrzej zaucha;https://www.youtube.com/watch?v=o8x64wd-EU4
czarny alibaba;andrzej zaucha;czarny alibaba andrzej zaucha;https://www.youtube.com/watch?v=9HxGHdORHd8
jak na lotni;andrzej zaucha;jak na lotni andrzej zaucha;https://www.youtube.com/watch?v=IIA9d3nC7-Q
siodmy rok;andrzej zaucha;siodmy rok andrzej zaucha;https://www.youtube.com/watch?v=V1ZVWE9xuUU
wymyslilem ciebie;andrzej zaucha;wymyslilem ciebie andrzej zaucha;https://www.youtube.com/watch?v=_8kyIah0XGo
masz przewrocone w glowie;andrzej zaucha i dzamble;masz przewrocone w glowie andrzej zaucha i dzamble;https://www.youtube.com/watch?v=_Xd5EMx1zj0
wymyslilem ciebie;andrzej zaucha i dzamble;wymyslilem ciebie andrzej zaucha i dzamble;https://www.youtube.com/watch?v=3Y9OG3LYQyc
can't take my eyes off you;andy williams;can't take my eyes off you andy williams;https://www.youtube.com/watch?v=OxahtnSAzgU
moon river;andy williams;moon river andy williams;https://www.youtube.com/watch?v=L_jgIezosVA
music to watch girls by;andy williams;music to watch girls by andy williams;https://www.youtube.com/watch?v=cOK6YJmT5_w
red roses for a blue lady;andy williams;red roses for a blue lady andy williams;https://www.youtube.com/watch?v=UwFMV5AP__I
speak softly love;andy williams;speak softly love andy williams;https://www.youtube.com/watch?v=PQBW6G0hSrs
where do i begin ;andy williams;where do i begin  andy williams;https://www.youtube.com/watch?v=w6w0cy_1HY4
czterdziesci lat minelo;andzrej rosiewicz;czterdziesci lat minelo andzrej rosiewicz;https://www.youtube.com/watch?v=TSgohNm-1cg
czy czuje pani cha-che;andzrej rosiewicz;czy czuje pani cha-che andzrej rosiewicz;https://www.youtube.com/watch?v=jFlz2elxNoo
lubie wiosne;andzrej rosiewicz;lubie wiosne andzrej rosiewicz;https://www.youtube.com/watch?v=qL36rFa-gJw
najwiecej witaminy;andzrej rosiewicz;najwiecej witaminy andzrej rosiewicz;https://www.youtube.com/watch?v=8A-xV5hZ3Eg
kahone;aneta figiel;kahone aneta figiel;https://www.youtube.com/watch?v=qz3Dx0RDK30
love;aneta figiel;love aneta figiel;https://www.youtube.com/watch?v=wyrwhRxO_eo
samotny dzien;aneta figiel;samotny dzien aneta figiel;https://www.youtube.com/watch?v=CtKKSDHiEvg
el choclo;angel villoldo;el choclo angel villoldo;https://www.youtube.com/watch?v=I0Irc_WTvdY
charlie charlie;ania dabrowska;charlie charlie ania dabrowska;https://www.youtube.com/watch?v=8BxqLLqv49A
nieprawda;ania dabrowska;nieprawda ania dabrowska;https://www.youtube.com/watch?v=qWCbgbJB9-I
nigdy wiecej nie tancz ze mna;ania dabrowska;nigdy wiecej nie tancz ze mna ania dabrowska;https://www.youtube.com/watch?v=-STfzpWO_w8
porady na zdrady ;ania dabrowska;porady na zdrady  ania dabrowska;https://www.youtube.com/watch?v=Ah5m-MoBXR0
porady na zdrady (dreszcze);ania dabrowska;porady na zdrady (dreszcze) ania dabrowska;https://www.youtube.com/watch?v=Ah5m-MoBXR0
